data,estado,arrecadacao
2006-03-01,PA,116.558803
2006-03-01,PB,94.473482
2006-03-01,PE,403.969191
2006-03-01,PI,34.340003
2006-03-01,PR,1097.718168
2006-03-01,RJ,5240.432737
2006-03-01,RN,58.781374
2006-03-01,RO,26.854028
2006-03-01,RR,7.469489
2006-03-01,RS,1275.771186
2006-03-01,SC,642.074925
2006-03-01,SE,50.616097
2006-03-01,SP,12472.448696
2006-03-01,TO,24.130331
2006-04-01,AC,12.882807
2006-04-01,AL,62.750224
2006-04-01,AM,406.754718
2006-04-01,AP,11.793465
2006-04-01,BA,625.194181
2006-04-01,CE,304.573468
2006-04-01,DF,2731.349576
2006-04-01,ES,553.059259
2006-04-01,GO,278.241404
2006-04-01,MA,129.729757
2006-04-01,MG,1876.178245
2006-04-01,MS,102.815046
2006-04-01,MT,124.234378
2006-04-01,PA,140.904837
2006-04-01,PB,86.289993
2006-04-01,PE,379.072609
2006-04-01,PI,51.578397
2006-04-01,PR,1344.068919
2006-04-01,RJ,6452.861724
2006-04-01,RN,98.070099
2006-04-01,RO,43.217491
2006-04-01,RR,13.280659
2006-04-01,RS,1535.302743
2006-04-01,SC,822.072494
2006-04-01,SE,67.773019
2006-04-01,SP,13665.530872
2006-04-01,TO,26.909964
2006-05-01,AC,10.444992
2006-05-01,AL,49.088483
2006-05-01,AM,384.436656
2006-05-01,AP,10.67832
2006-05-01,BA,788.162944
2006-05-01,CE,233.879164
2006-05-01,DF,2142.880512
2006-05-01,ES,485.968395
2006-05-01,GO,242.81536
2006-05-01,MA,118.031324
2006-05-01,MG,1518.799414
2006-05-01,MS,72.906391
2006-05-01,MT,101.630904
2006-05-01,PA,125.304409
2006-05-01,PB,61.599692
2006-05-01,PE,412.988628
2006-05-01,PI,38.578523
2006-05-01,PR,1094.982064
2006-05-01,RJ,5607.451596
2006-05-01,RN,66.277744
2006-05-01,RO,31.649012
2006-05-01,RR,9.416066
2006-05-01,RS,1325.358183
2006-05-01,SC,671.412608
2006-05-01,SE,54.51557
2006-05-01,SP,11976.766806
2006-05-01,TO,22.806555
2006-06-01,AC,10.553499
2006-06-01,AL,49.215803
2006-06-01,AM,410.643852
2006-06-01,AP,10.814904
2006-06-01,BA,563.175039
2006-06-01,CE,241.628704
2006-06-01,DF,3371.303526
2006-06-01,ES,474.050914
2006-06-01,GO,217.425566
2006-06-01,MA,94.25002
2006-06-01,MG,1479.93361
2006-06-01,MS,69.314662
2006-06-01,MT,96.529345
2006-06-01,PA,135.215706
2006-06-01,PB,67.444682
2006-06-01,PE,351.329095
2006-06-01,PI,38.117601
2006-06-01,PR,1562.000354
2006-06-01,RJ,7126.351778
2006-06-01,RN,67.902384
2006-06-01,RO,29.355957
2006-06-01,RR,8.056477
2006-06-01,RS,1348.735097
2006-06-01,SC,675.133117
2006-06-01,SE,53.410935
2006-06-01,SP,14432.111521
2006-06-01,TO,22.259393
2006-07-01,AC,13.350437
2006-07-01,AL,49.863251
